branch,species,species_code,grain,bio18,bio04,bio10,bio19,bedrock,TPI,dem_sd,northness,eastness,slope,TRI,landcover,bio14,bio06,bio12,depth_to_bedrock,dem_range,HLI,soil_water_cap,TWI,aspect,bio07
recent_noextrapol_weights_common,Primula kitaibeliana,PK,500,NA,NA,NA,NA,NA,NA,NA,6.511330495451614,7.354585139266563,NA,NA,10.856004654861952,10.433060439623256,15.9339361458771,12.51313182933092,7.227742199381608,7.047191634305418,6.583463057641498,7.480484996056425,8.059069408203658,NA,NA
recent_noextrapol_weights_common,Phyteuma orbiculare,PO,100,NA,NA,NA,NA,6.754109798219095,NA,NA,7.513053707644228,NA,NA,NA,11.60835471225921,8.587522177965923,15.936191686345765,14.565817694178126,9.134547226030547,NA,7.310166496945683,7.024604722615907,11.56563177779551,NA,NA
recent_noextrapol_weights_common,Phyteuma orbiculare,PO,1000,NA,NA,NA,NA,7.723193330907406,NA,NA,6.096772568973667,NA,NA,NA,16.86175947312268,7.019977433154631,15.811531291133601,18.778491177595892,4.8821727178121455,NA,7.023546203535689,8.887718935099127,6.9148368686651684,NA,NA
recent_noextrapol_weights_common,Phyteuma orbiculare,PO,200,NA,NA,NA,NA,6.764546744985095,NA,NA,7.15831487731032,NA,NA,NA,12.690943984739098,6.422266607083447,16.21500697953879,16.373247132444533,9.98127512235393,NA,6.019238361199181,7.4178732213081116,10.957286969037494,NA,NA
recent_noextrapol_weights_common,Phyteuma orbiculare,PO,500,NA,NA,NA,NA,6.933839699291012,NA,NA,9.129691528746376,NA,NA,NA,14.150265830337283,7.761425795643179,13.149044819620945,18.79100579229935,8.087363317559703,NA,7.930413982550763,9.046599755242536,5.020349478708859,NA,NA
recent_noextrapol_weights_common,Phyteuma pseudorbiculare,PP,100,NA,NA,NA,NA,8.8227801419695009,NA,NA,5.887311519377951,NA,NA,NA,13.239614830015892,15.627157898580005,15.732900496209542,11.887208660208639,7.675794823405416,NA,8.417983420787593,6.405678714943089,6.303569494502384,NA,NA
recent_noextrapol_weights_common,Phyteuma pseudorbiculare,PP,1000,NA,NA,NA,NA,7.98023811773948,NA,NA,4.261912325165584,NA,NA,NA,11.248667903424735,14.063331462158718,13.740411780329751,15.568297422753712,7.6186814427553955,NA,6.590947510480374,11.12744330458462,7.800068730607626,NA,NA
recent_noextrapol_weights_common,Phyteuma pseudorbiculare,PP,200,NA,NA,NA,NA,8.3058699034336,NA,NA,6.000165493163583,NA,NA,NA,11.210366242609421,16.47453777133179,14.949153833292767,12.926591243697661,9.893481184557078,NA,6.277223361721594,6.741862018745863,7.220748947446648,NA,NA
recent_noextrapol_weights_common,Phyteuma pseudorbiculare,PP,500,NA,NA,NA,NA,8.272965229825138,NA,NA,4.995396890698296,NA,NA,NA,12.898184364549534,10.686320266154686,14.423047592583792,11.46563851179457,10.80040090295998,NA,9.164929801064483,11.144478571662708,6.148637868706816,NA,NA
recent_noextrapol_weights_common,Saxifraga blavii,SB,100,NA,NA,NA,NA,9.959392048232797,NA,NA,6.919597315804915,NA,NA,NA,14.800873583539087,6.324136763033657,16.95648224828442,11.942750380342837,7.957344937004709,NA,8.918662254164252,9.049407684878757,7.171352784714573,NA,NA
recent_noextrapol_weights_common,Saxifraga blavii,SB,1000,NA,NA,NA,NA,11.039592249532019,NA,NA,6.064718765879391,NA,NA,NA,14.12748909726735,10.491116134775448,18.09961756933572,11.433171870467458,7.471050446119418,NA,6.449446509617688,8.009189106324484,6.814608250681031,NA,NA
recent_noextrapol_weights_common,Saxifraga blavii,SB,200,NA,NA,NA,NA,8.194255352377406,NA,NA,6.206687857852516,NA,NA,NA,13.512726189475918,10.047911164911694,18.540456328487803,13.171029468645939,7.556237908552441,NA,6.492530161854482,9.913253645060655,6.364911922781152,NA,NA
recent_noextrapol_weights_common,Saxifraga blavii,SB,500,NA,NA,NA,NA,9.419659749252059,NA,NA,7.315620315849461,NA,NA,NA,14.539853731342461,9.35967593833184,16.64077162802829,12.182607294927367,7.418823497684311,NA,8.168366060296291,7.965783264283306,6.988838520004613,NA,NA
